Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 5",1,121,350,150,23,5,100,24,28,100,1,16
3,move,"move 25 27",2,126,350,150,23,5,100,25,27,100,1,16
4,move,"move 2 17",3,131,350,150,23,5,100,25,27,100,2,17
5,move,"move 24 4",1,136,350,150,24,4,100,25,27,100,2,17
6,dig,"dig 24 26",2,143,350,150,24,4,100,25,27,100,2,17
7,move,"move 1 16",3,148,350,150,24,4,100,25,27,100,1,16
8,move,"move 23 5",1,153,350,150,23,5,100,25,27,100,1,16
9,dig,"dig 26 28",2,160,350,150,23,5,100,25,27,100,1,16
10,move,"move 0 15",3,165,350,150,23,5,100,25,27,100,0,15
11,dig,"dig 24 6",1,172,350,150,23,5,100,25,27,100,0,15
12,move,"move 26 28",2,177,350,150,23,5,100,26,28,100,0,15
13,dig,"dig 1 14",3,184,350,150,23,5,100,26,28,100,0,15
14,dig,"dig 22 6",1,191,350,150,23,5,100,26,28,100,0,15
15,move,"move 25 27",2,196,350,150,23,5,100,25,27,100,0,15
16,move,"move 1 16",3,201,350,150,23,5,100,25,27,100,1,16
17,dig,"dig 22 4",1,208,350,150,23,5,100,25,27,100,1,16
18,move,"move 26 28",2,213,350,150,23,5,100,26,28,100,1,16
19,move,"move 2 15",3,218,350,150,23,5,100,26,28,100,2,15
20,move,"move 22 6",1,223,350,150,22,6,100,26,28,100,2,15
21,move,"move 25 27",2,228,350,150,22,6,100,25,27,100,2,15
22,move,"move 1 14",3,233,350,150,22,6,100,25,27,100,1,14
23,dig,"dig 21 5",1,240,350,150,22,6,100,25,27,100,1,14
24,move,"move 24 28",2,245,350,150,22,6,100,24,28,100,1,14
25,move,"move 2 13",3,250,350,150,22,6,100,24,28,100,2,13
26,move,"move 23 7",1,255,350,150,23,7,100,24,28,100,2,13
27,move,"move 23 29",2,260,350,150,23,7,100,23,29,100,2,13
28,move,"move 1 12",3,265,350,150,23,7,100,23,29,100,1,12
29,move,"move 24 6",1,270,350,150,24,6,100,23,29,100,1,12
30,dig,"dig 24 30",2,277,350,150,24,6,100,23,29,100,1,12
31,move,"move 2 11",3,282,350,150,24,6,100,23,29,100,2,11
32,move,"move 23 5",1,287,350,150,23,5,100,23,29,100,2,11
33,move,"move 24 28",2,292,350,150,23,5,100,24,28,100,2,11
34,dig,"dig 3 10",3,299,350,150,23,5,100,24,28,100,2,11
35,move,"move 22 6",1,304,350,150,22,6,100,24,28,100,2,11
36,move,"move 25 27",2,309,350,150,22,6,100,25,27,100,2,11
37,move,"move 3 12",3,314,350,150,22,6,100,25,27,100,3,12
38,dig,"dig 21 7",1,321,350,150,22,6,100,25,27,100,3,12
39,move,"move 24 26",2,326,350,150,22,6,100,24,26,100,3,12
40,dig,"dig 4 11",3,333,350,150,22,6,100,24,26,100,3,12
41,move,"move 23 5",1,338,350,150,23,5,100,24,26,100,3,12
42,move,"move 23 25",2,343,350,150,23,5,100,23,25,100,3,12
43,dig,"dig 4 13",3,350,350,150,23,5,100,23,25,100,3,12
44,move,"move 24 6",1,355,350,150,24,6,100,23,25,100,3,12
45,move,"move 24 24",2,360,350,150,24,6,100,24,24,100,3,12
46,move,"move 4 11",3,365,350,150,24,6,100,24,24,100,4,11
47,move,"move 25 7",1,370,350,150,25,7,100,24,24,100,4,11
48,move,"move 25 23",2,375,350,150,25,7,100,25,23,100,4,11
49,move,"move 3 12",3,380,350,150,25,7,100,25,23,100,3,12
50,dig,"dig 26 6",1,387,350,150,25,7,100,25,23,100,3,12
51,move,"move 24 22",2,392,350,150,25,7,100,24,22,100,3,12
52,move,"move 2 11",3,397,350,150,25,7,100,24,22,100,2,11
53,move,"move 24 8",1,402,350,150,24,8,100,24,22,100,2,11
54,move,"move 25 23",2,407,350,150,24,8,100,25,23,100,2,11
55,move,"move 3 10",3,412,350,150,24,8,100,25,23,100,3,10
56,dig,"dig 23 9",1,419,350,150,24,8,100,25,23,100,3,10
57,move,"move 24 24",2,424,350,150,24,8,100,24,24,100,3,10
58,dig,"dig 4 9",3,431,350,150,24,8,100,24,24,100,3,10
59,dig,"dig 25 9",1,438,350,150,24,8,100,24,24,100,3,10
60,move,"move 25 23",2,443,350,150,24,8,100,25,23,100,3,10
61,move,"move 4 11",3,448,350,150,24,8,100,25,23,100,4,11
62,move,"move 25 7",1,453,350,150,25,7,100,25,23,100,4,11
63,dig,"dig 26 22",2,460,350,150,25,7,100,25,23,100,4,11
64,move,"move 5 10",3,465,350,150,25,7,100,25,23,100,5,10
65,move,"move 24 6",1,470,350,150,24,6,100,25,23,100,5,10
66,move,"move 24 22",2,475,350,150,24,6,100,24,22,100,5,10
67,dig,"dig 6 11",3,482,350,150,24,6,100,24,22,100,5,10
68,move,"move 23 5",1,487,350,150,23,5,100,24,22,100,5,10
