Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 3",1,121,350,150,25,3,100,24,28,100,1,16
3,invalid,"invalid",2,117,350,150,25,3,100,24,28,100,1,16
4,move,"move 2 15",3,122,350,150,25,3,100,24,28,100,2,15
5,dig,"dig 24 2",1,129,350,150,25,3,100,24,28,100,2,15
6,invalid,"invalid",2,125,350,150,25,3,100,24,28,100,2,15
7,dig,"dig 3 16",3,132,350,150,25,3,100,24,28,100,2,15
8,move,"move 24 4",1,137,350,150,24,4,100,24,28,100,2,15
9,invalid,"invalid",2,133,350,150,24,4,100,24,28,100,2,15
10,dig,"dig 1 14",3,140,350,150,24,4,100,24,28,100,2,15
