Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 25 3",1,121,350,150,25,3,100,24,28,100,1,16
3,invalid,"invalid",2,117,350,150,25,3,100,24,28,100,1,16
4,invalid,"invalid",3,113,350,150,25,3,100,24,28,100,1,16
5,nothing,"nothing "Player chose to do nothing"",1,113,350,150,25,3,100,24,28,100,1,16
6,invalid,"invalid",2,109,350,150,25,3,100,24,28,100,1,16
7,invalid,"invalid",3,105,350,150,25,3,100,24,28,100,1,16
8,dig,"dig 24 2",1,112,350,150,25,3,100,24,28,100,1,16
9,invalid,"invalid",2,108,350,150,25,3,100,24,28,100,1,16
10,invalid,"invalid",3,104,350,150,25,3,100,24,28,100,1,16
11,nothing,"nothing "Player chose to do nothing"",1,104,350,150,25,3,100,24,28,100,1,16
12,invalid,"invalid",2,100,350,150,25,3,100,24,28,100,1,16
13,invalid,"invalid",3,96,350,150,25,3,100,24,28,100,1,16
14,dig,"dig 26 4",1,103,350,150,25,3,100,24,28,100,1,16
15,invalid,"invalid",2,99,350,150,25,3,100,24,28,100,1,16
16,invalid,"invalid",3,95,350,150,25,3,100,24,28,100,1,16
17,move,"move 24 2",1,100,350,150,24,2,100,24,28,100,1,16
18,invalid,"invalid",2,96,350,150,24,2,100,24,28,100,1,16
19,invalid,"invalid",3,92,350,150,24,2,100,24,28,100,1,16
20,move,"move 25 3",1,97,350,150,25,3,100,24,28,100,1,16
21,invalid,"invalid",2,93,350,150,25,3,100,24,28,100,1,16
22,invalid,"invalid",3,89,350,150,25,3,100,24,28,100,1,16
23,move,"move 24 2",1,94,350,150,24,2,100,24,28,100,1,16
24,invalid,"invalid",2,90,350,150,24,2,100,24,28,100,1,16
25,invalid,"invalid",3,86,350,150,24,2,100,24,28,100,1,16
26,move,"move 23 3",1,91,350,150,23,3,100,24,28,100,1,16
27,invalid,"invalid",2,87,350,150,23,3,100,24,28,100,1,16
28,invalid,"invalid",3,83,350,150,23,3,100,24,28,100,1,16
29,dig,"dig 22 4",1,90,350,150,23,3,100,24,28,100,1,16
30,invalid,"invalid",2,86,350,150,23,3,100,24,28,100,1,16
31,invalid,"invalid",3,82,350,150,23,3,100,24,28,100,1,16
32,move,"move 24 2",1,87,350,150,24,2,100,24,28,100,1,16
33,invalid,"invalid",2,83,350,150,24,2,100,24,28,100,1,16
34,invalid,"invalid",3,79,350,150,24,2,100,24,28,100,1,16
35,move,"move 23 1",1,84,350,150,23,1,100,24,28,100,1,16
36,invalid,"invalid",2,80,350,150,23,1,100,24,28,100,1,16
37,invalid,"invalid",3,76,350,150,23,1,100,24,28,100,1,16
38,move,"move 24 2",1,81,350,150,24,2,100,24,28,100,1,16
39,invalid,"invalid",2,77,350,150,24,2,100,24,28,100,1,16
40,invalid,"invalid",3,73,350,150,24,2,100,24,28,100,1,16
41,nothing,"nothing "Player chose to do nothing"",1,73,350,150,24,2,100,24,28,100,1,16
42,invalid,"invalid",2,69,350,150,24,2,100,24,28,100,1,16
43,invalid,"invalid",3,65,350,150,24,2,100,24,28,100,1,16
44,move,"move 23 3",1,70,350,150,23,3,100,24,28,100,1,16
45,invalid,"invalid",2,66,350,150,23,3,100,24,28,100,1,16
46,invalid,"invalid",3,62,350,150,23,3,100,24,28,100,1,16
47,move,"move 22 4",1,67,350,150,22,4,100,24,28,100,1,16
48,invalid,"invalid",2,63,350,150,22,4,100,24,28,100,1,16
49,invalid,"invalid",3,59,350,150,22,4,100,24,28,100,1,16
50,move,"move 23 3",1,64,350,150,23,3,100,24,28,100,1,16
51,invalid,"invalid",2,60,350,150,23,3,100,24,28,100,1,16
52,invalid,"invalid",3,56,350,150,23,3,100,24,28,100,1,16
53,move,"move 24 2",1,61,350,150,24,2,100,24,28,100,1,16
54,invalid,"invalid",2,57,350,150,24,2,100,24,28,100,1,16
55,invalid,"invalid",3,53,350,150,24,2,100,24,28,100,1,16
56,move,"move 25 3",1,58,350,150,25,3,100,24,28,100,1,16
57,invalid,"invalid",2,54,350,150,25,3,100,24,28,100,1,16
58,invalid,"invalid",3,50,350,150,25,3,100,24,28,100,1,16
59,move,"move 26 4",1,55,350,150,26,4,100,24,28,100,1,16
60,invalid,"invalid",2,51,350,150,26,4,100,24,28,100,1,16
61,invalid,"invalid",3,47,350,150,26,4,100,24,28,100,1,16
62,move,"move 25 5",1,52,350,150,25,5,100,24,28,100,1,16
63,invalid,"invalid",2,48,350,150,25,5,100,24,28,100,1,16
64,invalid,"invalid",3,44,350,150,25,5,100,24,28,100,1,16
65,move,"move 26 4",1,49,350,150,26,4,100,24,28,100,1,16
66,invalid,"invalid",2,45,350,150,26,4,100,24,28,100,1,16
